DATE,CBBTCUSD,SP500,VIXCLS
21/12/2017,15758.8,2684.57,9.62
22/12/2017,14210.57,2683.34,9.9
23/12/2017,15075.89,.,.
24/12/2017,14221.94,2680.5,10.25
25/12/2017,14171.98,2682.62,10.47
26/12/2017,15790.88,2687.54,10.18
27/12/2017,15367.08,2673.61,11.04
28/12/2017,14450.01,.,.
29/12/2017,14565.05,2695.81,9.77
30/12/2017,12839.99,2713.06,9.15
31/12/2017,13863.13,2723.99,9.22
01/01/2018,13480.01,2743.15,9.22
02/01/2018,14781.51,2747.71,9.52
03/01/2018,15098.14,2751.29,10.08
04/01/2018,15144.99,2748.23,9.82
05/01/2018,16960.01,2767.56,9.88
06/01/2018,17098.99,2786.24,10.16
07/01/2018,16174.22,.,.
08/01/2018,14993.74,2776.42,11.66
09/01/2018,14480.99,2802.56,11.91
10/01/2018,14875.18,2798.03,12.22
11/01/2018,13308.06,2810.3,11.27
12/01/2018,13820,2832.97,11.03
13/01/2018,14187.95,2839.13,11.1
14/01/2018,13656.23,2837.54,11.47
15/01/2018,13590,2839.25,11.58
16/01/2018,11570.01,2872.87,11.08
17/01/2018,11200.01,2853.53,13.84
18/01/2018,11305.53,2822.43,14.79
19/01/2018,11498.99,2823.81,13.54
20/01/2018,12762.8,2821.98,13.47
21/01/2018,11518.17,2762.13,17.31
22/01/2018,10766.7,2648.94,37.32
23/01/2018,10824.94,2695.14,29.98
24/01/2018,11356.79,2681.66,27.73
25/01/2018,11118,2581,33.46
26/01/2018,11086.89,2619.55,29.06
27/01/2018,11319,2656,25.61
28/01/2018,11536,2662.94,24.97
29/01/2018,11123.01,2698.63,19.26
30/01/2018,9995,2731.2,19.13
31/01/2018,10099.99,2732.22,19.46
01/02/2018,9014.23,.,.
02/02/2018,8787.52,2716.26,20.6
03/02/2018,9240,2701.33,20.02
04/02/2018,8167.91,2703.96,18.72
05/02/2018,6905.19,2747.3,16.49
06/02/2018,7688.46,2779.6,15.8
07/02/2018,7575.75,2744.28,18.59
08/02/2018,8218.1,2713.83,19.85
09/02/2018,8671.01,2677.67,22.47
10/02/2018,8547.49,2691.25,19.59
11/02/2018,8072.99,2720.94,18.73
12/02/2018,8872.28,2728.12,18.36
13/02/2018,8520.01,2726.8,17.76
14/02/2018,9472.98,2738.97,16.54
15/02/2018,10031.23,2786.57,14.64
16/02/2018,10167.49,2783.02,15.78
17/02/2018,11121.5,2765.31,16.35
18/02/2018,10380.04,2749.48,17.23
19/02/2018,11140,2747.33,16.59
20/02/2018,11235.57,2752.01,15.8
21/02/2018,10454.27,2712.92,19.02
22/02/2018,9830,2716.94,18.2
23/02/2018,10144.99,2711.93,17.86
24/02/2018,9688.62,2643.69,23.34
25/02/2018,9597.99,2588.26,24.87
26/02/2018,10300,2658.55,21.03
27/02/2018,10566.57,2612.62,22.5
28/02/2018,10307.27,2605,22.87
01/03/2018,10895.92,2640.87,19.97
02/03/2018,11000,.,.
03/03/2018,11432.5,2581.88,23.62
04/03/2018,11469.9,2614.45,21.1
05/03/2018,11377.54,2644.69,20.06
06/03/2018,10700,2662.84,18.94
07/03/2018,9920,2604.47,21.49
08/03/2018,9304.9,2613.16,21.77
09/03/2018,9255,2656.87,20.47
10/03/2018,8795.44,2642.19,20.24
11/03/2018,9533.88,2663.99,18.49
12/03/2018,9120,2656.3,17.41
13/03/2018,9145.41,2677.84,16.56
14/03/2018,8207.03,2706.39,15.25
15/03/2018,8259.99,2708.64,15.6
16/03/2018,8275,2693.13,15.96
17/03/2018,7865.02,2670.14,16.88
18/03/2018,8192,2670.29,16.34
19/03/2018,8589,2634.56,18.02
20/03/2018,8900,2639.4,17.84
21/03/2018,8891.81,2666.94,16.24
22/03/2018,8715.09,2669.91,15.41
23/03/2018,8927.1,2648.05,15.93
24/03/2018,8531.34,2654.8,15.49
25/03/2018,8453,2635.67,15.97
26/03/2018,8145,2629.73,15.9
27/03/2018,7793.61,2663.42,14.77
28/03/2018,7942.72,2672.63,14.75
29/03/2018,7079.99,2671.92,14.71
30/03/2018,6848.01,2697.79,13.42
31/03/2018,6928.5,2723.07,13.23
01/04/2018,6816.01,2727.72,12.65
02/04/2018,7045.01,2730.13,12.93
03/04/2018,7424.9,2711.45,14.63
04/04/2018,6791.68,2722.46,13.42
05/04/2018,6785.85,2720.13,13.43
06/04/2018,6619.01,2712.97,13.42
07/04/2018,6894.01,2733.01,13.08
08/04/2018,7020.01,2724.44,13.22
09/04/2018,6771.13,2733.29,12.58
10/04/2018,6824.99,2727.76,12.53
11/04/2018,6942.99,2721.33,13.22
12/04/2018,7916,.,.
13/04/2018,7893.19,2689.86,17.02
14/04/2018,8003.11,2724.01,14.94
15/04/2018,8355.25,2705.27,15.43
16/04/2018,8048.93,2734.62,13.46
17/04/2018,7892.1,2746.87,12.74
18/04/2018,8152.05,2748.8,12.4
19/04/2018,8274,2772.35,11.64
20/04/2018,8866.27,2770.37,12.13
21/04/2018,8915.42,2779.03,12.18
22/04/2018,8795.01,2782,12.35
23/04/2018,8931.3,2786.85,12.34
24/04/2018,9650,2775.63,12.94
25/04/2018,8865.98,2782.49,12.12
26/04/2018,9272.11,2779.66,11.98
27/04/2018,8922.55,2773.75,12.31
28/04/2018,9329.99,2762.59,13.35
29/04/2018,9389.01,2767.32,12.79
30/04/2018,9243.82,2749.76,14.64
01/05/2018,9072.29,2754.88,13.77
02/05/2018,9190.48,2717.07,17.33
03/05/2018,9725.74,2723.06,15.92
04/05/2018,9685,2699.63,17.91
05/05/2018,9800,2716.31,16.85
06/05/2018,9600,2718.37,16.09
07/05/2018,9356.25,2726.71,15.6
08/05/2018,9177.81,2713.22,16.14
09/05/2018,9300.08,.,.
10/05/2018,9010.51,2736.61,14.97
11/05/2018,8403.33,2759.82,13.37
12/05/2018,8475,2784.17,12.69
13/05/2018,8686.1,2793.84,12.64
14/05/2018,8670,2774.02,13.63
15/05/2018,8477.46,2798.29,12.58
16/05/2018,8344,2801.31,12.18
17/05/2018,8059,2798.43,12.83
18/05/2018,8238.51,2809.55,12.06
19/05/2018,8235.6,2815.62,12.1
20/05/2018,8516.86,2804.49,12.87
21/05/2018,8393.44,2801.83,12.86
22/05/2018,7987.7,2806.98,12.62
23/05/2018,7505,2820.4,12.41
24/05/2018,7584.15,2846.07,12.29
25/05/2018,7459.11,2837.44,12.14
26/05/2018,7337.95,2818.82,13.03
27/05/2018,7346.64,2802.6,14.26
28/05/2018,7107.94,2816.29,12.83
29/05/2018,7460,2813.36,13.15
30/05/2018,7380.01,2827.22,12.19
31/05/2018,7485,2840.35,11.64
01/06/2018,7514.32,2850.4,11.27
02/06/2018,7636.42,2858.45,10.93
03/06/2018,7706.37,2857.7,10.85
04/06/2018,7487.37,2853.58,11.27
05/06/2018,7612.51,2833.28,13.16
06/06/2018,7655,2821.93,14.78
07/06/2018,7684.93,2839.96,13.31
08/06/2018,7618.83,2818.37,14.64
09/06/2018,7496.4,2840.69,13.45
10/06/2018,6770.31,2850.13,12.64
11/06/2018,6881,2857.05,12.49
12/06/2018,6544.99,2862.96,12.86
13/06/2018,6302.32,2861.82,12.25
14/06/2018,6638.49,2856.98,12.41
