DATE,Net Liquidity Calc,,Reverse Repo,Treasury General Account,Total Assets (Millions),Total Assets (Billions),,SP500,,,Date,Net Liquidity,SPX
03/01/2018,4045.4865,,186.6655,211.566,4443718,4443.718,,2692.505,,,01/07/2020,5351.1394,3183.278
10/01/2018,4176.1708,,63.6762,206.215,4446062,4446.062,,2742.874,,,08/07/2020,5267.616667,3245.092
17/01/2018,4187.0455,,24.4345,227.665,4439145,4439.145,,2783.195,,,15/07/2020,5303.2834,3233.516
24/01/2018,4143.8254,,28.3736,269.118,4441317,4441.317,,2823.594,,,22/07/2020,5159.8102,3289.246
31/01/2018,4116.4088,,32.5722,270.244,4419225,4419.225,,2842.378,,,29/07/2020,5132.3448,3354.99
07/02/2018,4170.3894,,46.4196,203.936,4420745,4420.745,,2721.97,,,05/08/2020,5199.9166,3378.58
14/02/2018,4200.757,,36.425,197.681,4434863,4434.863,,2643.624,,,12/08/2020,5287.5218,3427.26
21/02/2018,4162.89275,,34.09025,214.677,4411660,4411.66,,2720.2525,,,19/08/2020,5367.073,3520.072
28/02/2018,4165.6222,,25.1588,202.62,4393401,4393.401,,2737.794,,,26/08/2020,5367.6938,3403.205
07/03/2018,4186.8848,,14.1412,195.071,4396097,4396.097,,2708.956,,,02/09/2020,5378.326,3370.078
14/03/2018,4153.51,,3.819,249.929,4407258,4407.258,,2764.67,,,09/09/2020,5399.53075,3302.006
21/03/2018,4073.8916,,10.8764,316.454,4401222,4401.222,,2728.226,,,16/09/2020,5449.6064,3319.024
28/03/2018,4062.2438,,11.0962,318.858,4392198,4392.198,,2621.624,,,23/09/2020,5412.4618,3383.654
04/04/2018,4076.492,,5.696,303.916,4386104,4386.104,,2620.4725,,,30/09/2020,5376.546,3491.756
11/04/2018,4085.6088,,3.9922,294.083,4383684,4383.684,,2635.906,,,07/10/2020,5377.5726,3454.55
18/04/2018,4104.866,,5.791,275.246,4385903,4385.903,,2682.632,,,14/10/2020,5470.375,3396.312
25/04/2018,4003.3144,,9.9726,359.599,4372886,4372.886,,2661.504,,,21/10/2020,5452.4702,3340.582
02/05/2018,3949.968,,6.177,399.984,4356129,4356.129,,2655.074,,,28/10/2020,5465.3716,3537.716
09/05/2018,4000.2558,,4.2102,353.741,4358207,4358.207,,2667.098,,,04/11/2020,5536.13,3585.278
16/05/2018,3997.0778,,3.2732,337.258,4337609,4337.609,,2722.966,,,11/11/2020,5574.58,3596.412
