,TGA,BalanceSheet,RR,SPX,Date,Total Assets(B),TGA(B),RR(B),NetLiquidity,SPX,SPX(lag)
02/01/2013,84458,2917189,,1462.42,01/07/2020,7009.04,1656.747,0.002,5352.291,3115.86,3226.56
09/01/2013,47338,2928728,,1461.02,08/07/2020,6920.716,1624.404,0.001,5296.311,3169.94,3276.02
16/01/2013,77177,2963812,,1472.63,15/07/2020,6958.604,1740.455,0.001,5218.148,3226.56,3258.44
23/01/2013,81243,3011697,,1494.81,22/07/2020,6964.755,1777.18,0,5187.575,3276.02,3327.77
30/01/2013,71305,3008704,,1501.96,29/07/2020,6949.032,1792.434,0.001,5156.597,3258.44,3380.35
06/02/2013,48137,3014975,,1512.12,05/08/2020,6945.237,1706.637,0,5238.6,3327.77,3374.85
13/02/2013,42358,3074225,,1520.33,12/08/2020,6957.277,1635.143,0.103,5322.031,3380.35,3478.73
20/02/2013,40703,3095150,,1511.95,19/08/2020,7010.637,1636.393,0.112,5374.132,3374.85,3580.84
27/02/2013,15966,3090600,,1515.99,26/08/2020,6990.418,1607.449,0.009,5382.96,3478.73,3398.96
06/03/2013,48960,3108805,,1541.46,02/09/2020,7017.492,1651.823,0.014,5365.655,3580.84,3385.49
13/03/2013,28448,3165396,,1554.52,09/09/2020,7010.614,1570.533,0.001,5440.08,3398.96,3236.92
20/03/2013,71131,3206888,,1558.71,16/09/2020,7064.475,1692.809,0.055,5371.611,3385.49,3363
27/03/2013,53218,3202256,,1562.85,23/09/2020,7093.161,1661.732,0.001,5431.428,3236.92,3419.45
03/04/2013,60060,3215432,0.12,1553.69,30/09/2020,7056.129,1781.679,0.85,5273.6,3363,3488.67
10/04/2013,52487,3227762,,1587.73,07/10/2020,7074.649,1687.434,0.011,5387.204,3419.45,3435.56
17/04/2013,121204,3295109,,1552.01,14/10/2020,7151.426,1647.937,0,5503.489,3488.67,3271.03
24/04/2013,167621,3318649,,1578.79,21/10/2020,7177.265,1699.497,0,5477.768,3435.56,3443.44
01/05/2013,184624,3317194,,1582.7,28/10/2020,7146.306,1653.039,0.005,5493.262,3271.03,3572.66
08/05/2013,133620,3324615,,1632.69,04/11/2020,7157.479,1618.568,0,5538.911,3443.44,3567.79
15/05/2013,69489,3354269,,1658.78,11/11/2020,7175.417,1570.768,,5604.649,3572.66,3629.65
22/05/2013,25206,3398713,,1655.35,18/11/2020,7243.08,1546.924,0,5696.156,3567.79,3669.01
29/05/2013,14298,3385128,,1648.36,25/11/2020,7216.48,1484.036,0,5732.444,3629.65,3672.82
05/06/2013,41025,3400183,,1608.9,02/12/2020,7222.414,1557.239,0.001,5665.174,3669.01,3701.17
12/06/2013,39284,3410842,,1612.52,09/12/2020,7242.658,1502.361,0.003,5740.294,3672.82,3690.01
