DATE,RRAwardRate,SDTBills,,Date,AwardRate,Tbills4
23/09/2013,0.01,0.01,,01/07/2020,0,0.12
24/09/2013,0.01,0.02,,02/07/2020,0,0.13
25/09/2013,0.01,0.02,,03/07/2020,0,
26/09/2013,0.01,0.04,,06/07/2020,0,0.12
27/09/2013,0.01,0.03,,07/07/2020,0,0.12
30/09/2013,0.01,0.03,,08/07/2020,0,0.11
01/10/2013,0.01,0.1,,09/07/2020,0,0.11
02/10/2013,0.01,0.08,,10/07/2020,0,0.1
03/10/2013,0.01,0.13,,13/07/2020,0,0.11
04/10/2013,0.01,0.12,,14/07/2020,0,0.11
07/10/2013,0.01,0.15,,15/07/2020,0,0.12
08/10/2013,0.01,0.27,,16/07/2020,0,0.12
09/10/2013,0.01,0.27,,17/07/2020,0,0.11
10/10/2013,0.01,0.26,,20/07/2020,0,0.11
11/10/2013,0.01,0.26,,21/07/2020,0,0.09
14/10/2013,,,,22/07/2020,0,0.09
15/10/2013,0.01,0.35,,23/07/2020,0,0.09
16/10/2013,0.01,0.14,,24/07/2020,0,0.1
17/10/2013,0.01,0.01,,27/07/2020,0,0.1
18/10/2013,0.01,0.01,,28/07/2020,0,0.09
21/10/2013,0.02,0.02,,29/07/2020,0,0.09
22/10/2013,0.02,0.04,,30/07/2020,0,0.1
23/10/2013,0.02,0.02,,31/07/2020,0,0.09
24/10/2013,0.02,0.02,,03/08/2020,0,0.09
25/10/2013,0.02,0.02,,04/08/2020,0,0.09
28/10/2013,0.02,0.02,,05/08/2020,0,0.08
29/10/2013,0.02,0.06,,06/08/2020,0,0.07
30/10/2013,0.02,0.05,,07/08/2020,0,0.08
31/10/2013,0.02,0.03,,10/08/2020,0,0.09
01/11/2013,0.02,0.03,,11/08/2020,0,0.08
04/11/2013,0.03,0.02,,12/08/2020,0,0.08
05/11/2013,0.03,0.06,,13/08/2020,0,0.08
06/11/2013,0.03,0.05,,14/08/2020,0,0.09
07/11/2013,0.03,0.04,,17/08/2020,0,0.09
08/11/2013,0.03,0.04,,18/08/2020,0,0.08
11/11/2013,,,,19/08/2020,0,0.07
12/11/2013,0.04,0.05,,20/08/2020,0,0.08
13/11/2013,0.04,0.06,,21/08/2020,0,0.07
14/11/2013,0.04,0.06,,24/08/2020,0,0.09
15/11/2013,0.04,0.06,,25/08/2020,0,0.08
18/11/2013,0.04,0.04,,26/08/2020,0,0.07
19/11/2013,0.05,0.05,,27/08/2020,0,0.09
20/11/2013,0.05,0.06,,28/08/2020,0,0.09
21/11/2013,0.05,0.02,,31/08/2020,0,0.08
22/11/2013,0.05,0.02,,01/09/2020,0,0.09
25/11/2013,0.05,0.03,,02/09/2020,0,0.1
26/11/2013,0.05,0.07,,03/09/2020,0,0.1
27/11/2013,0.05,0.06,,04/09/2020,0,0.09
28/11/2013,,,,07/09/2020,0,
29/11/2013,0.05,0.05,,08/09/2020,0,0.1
02/12/2013,0.05,0.02,,09/09/2020,0,0.1
03/12/2013,0.05,0.04,,10/09/2020,0,0.1
04/12/2013,0.05,0.04,,11/09/2020,0,0.1
05/12/2013,0.05,0.02,,14/09/2020,0,0.1
06/12/2013,0.05,0.03,,15/09/2020,0,0.09
09/12/2013,0.05,0.03,,16/09/2020,0,0.08
10/12/2013,0.05,0.03,,17/09/2020,0,0.09
11/12/2013,0.05,0.02,,18/09/2020,0,0.09
12/12/2013,0.05,0.01,,21/09/2020,0,0.09
13/12/2013,0.05,0.02,,22/09/2020,0,0.08
16/12/2013,0.05,0.01,,23/09/2020,0,0.08
17/12/2013,0.05,0.02,,24/09/2020,0,0.08
18/12/2013,0.05,0.01,,25/09/2020,0,0.08
19/12/2013,0.05,0.01,,28/09/2020,0,0.09
20/12/2013,0.05,0.01,,29/09/2020,0,0.07
23/12/2013,0.03,0.01,,30/09/2020,0,0.08
24/12/2013,0.03,0.01,,01/10/2020,0,0.09
25/12/2013,,,,02/10/2020,0,0.1
26/12/2013,0.03,0,,05/10/2020,0,0.09
27/12/2013,0.03,0,,06/10/2020,0,0.08
30/12/2013,0.03,0.01,,07/10/2020,0,0.08
31/12/2013,0.03,0.01,,08/10/2020,0,0.09
01/01/2014,,,,09/10/2020,0,0.1
02/01/2014,0.03,0.01,,12/10/2020,0,
03/01/2014,0.03,0.01,,13/10/2020,0,0.09
06/01/2014,0.03,0.01,,14/10/2020,0,0.1
07/01/2014,0.03,0.01,,15/10/2020,0,0.1
08/01/2014,0.03,0,,16/10/2020,0,0.09
09/01/2014,0.03,0.01,,19/10/2020,0,0.09
10/01/2014,0.03,0.01,,20/10/2020,0,0.08
13/01/2014,0.03,0,,21/10/2020,0,0.08
14/01/2014,0.03,0,,22/10/2020,0,0.09
15/01/2014,0.03,0.01,,23/10/2020,0,0.08
16/01/2014,0.03,0.01,,26/10/2020,0,0.08
17/01/2014,0.03,0.01,,27/10/2020,0,0.08
20/01/2014,,,,28/10/2020,0,0.07
21/01/2014,0.03,0.01,,29/10/2020,0,0.08
22/01/2014,0.03,0,,30/10/2020,0,0.08
23/01/2014,0.03,0.01,,02/11/2020,0,0.09
24/01/2014,0.03,0.04,,03/11/2020,0,0.09
27/01/2014,0.03,0.04,,04/11/2020,0,0.08
28/01/2014,0.03,0.05,,05/11/2020,0,0.09
29/01/2014,0.03,0.04,,06/11/2020,0,0.1
30/01/2014,0.03,0.04,,09/11/2020,0,0.1
31/01/2014,0.03,0.03,,10/11/2020,0,0.09
03/02/2014,0.03,0.04,,11/11/2020,0,
04/02/2014,0.03,0.12,,12/11/2020,0,0.1
05/02/2014,0.03,0.13,,13/11/2020,0,0.1
06/02/2014,0.03,0.07,,16/11/2020,0,0.09
07/02/2014,0.03,0.1,,17/11/2020,0,0.08
10/02/2014,0.03,0.07,,18/11/2020,0,0.07
11/02/2014,0.03,0.05,,19/11/2020,0,0.08
12/02/2014,0.03,0.01,,20/11/2020,0,0.09
13/02/2014,0.03,0.01,,23/11/2020,0,0.08
14/02/2014,0.03,0.01,,24/11/2020,0,0.08
17/02/2014,,,,25/11/2020,0,0.07
18/02/2014,0.04,0.02,,26/11/2020,0,
19/02/2014,0.04,0.04,,27/11/2020,0,0.09
20/02/2014,0.04,0.02,,30/11/2020,0,0.08
21/02/2014,0.04,0.02,,01/12/2020,0,0.07
24/02/2014,0.04,0.02,,02/12/2020,0,0.07
25/02/2014,0.04,0.04,,03/12/2020,0,0.08
26/02/2014,0.05,0.04,,04/12/2020,0,0.07
27/02/2014,0.05,0.04,,07/12/2020,0,0.09
28/02/2014,0.05,0.04,,08/12/2020,0,0.08
03/03/2014,0.05,0.04,,09/12/2020,0,0.07
04/03/2014,0.05,0.06,,10/12/2020,0,0.07
05/03/2014,0.05,0.06,,11/12/2020,0,0.08
06/03/2014,0.05,0.06,,14/12/2020,0,0.07
07/03/2014,0.05,0.06,,15/12/2020,0,0.07
10/03/2014,0.05,0.05,,16/12/2020,0,0.08
11/03/2014,0.05,0.06,,17/12/2020,0,0.08
12/03/2014,0.05,0.05,,18/12/2020,0,0.08
13/03/2014,0.05,0.06,,21/12/2020,0,0.08
