DATE,RRAward,4WKBills
01/07/2020,0,0.12
02/07/2020,.,0.13
03/07/2020,.,.
06/07/2020,.,0.12
07/07/2020,0,0.12
08/07/2020,0,0.11
09/07/2020,.,0.11
10/07/2020,.,0.1
13/07/2020,0,0.11
14/07/2020,0,0.11
15/07/2020,0,0.12
16/07/2020,0,0.12
17/07/2020,.,0.11
20/07/2020,0,0.11
21/07/2020,.,0.09
22/07/2020,.,0.09
23/07/2020,.,0.09
24/07/2020,.,0.1
27/07/2020,.,0.1
28/07/2020,.,0.09
29/07/2020,0,0.09
30/07/2020,0,0.1
31/07/2020,0,0.09
03/08/2020,.,0.09
04/08/2020,0,0.09
05/08/2020,.,0.08
06/08/2020,.,0.07
07/08/2020,.,0.08
10/08/2020,0,0.09
11/08/2020,.,0.08
12/08/2020,0,0.08
13/08/2020,0,0.08
14/08/2020,0,0.09
17/08/2020,0,0.09
18/08/2020,0,0.08
19/08/2020,0,0.07
20/08/2020,0,0.08
21/08/2020,.,0.07
24/08/2020,.,0.09
25/08/2020,0,0.08
26/08/2020,0,0.07
27/08/2020,0,0.09
28/08/2020,.,0.09
31/08/2020,0,0.08
01/09/2020,0,0.09
02/09/2020,0,0.1
03/09/2020,.,0.1
04/09/2020,.,0.09
07/09/2020,.,.
08/09/2020,.,0.1
09/09/2020,0,0.1
10/09/2020,0,0.1
11/09/2020,.,0.1
14/09/2020,0,0.1
15/09/2020,0,0.09
16/09/2020,0,0.08
17/09/2020,0,0.09
18/09/2020,.,0.09
21/09/2020,0,0.09
22/09/2020,.,0.08
23/09/2020,0,0.08
24/09/2020,0,0.08
25/09/2020,.,0.08
28/09/2020,.,0.09
29/09/2020,0,0.07
30/09/2020,0,0.08
01/10/2020,0,0.09
02/10/2020,.,0.1
05/10/2020,.,0.09
06/10/2020,.,0.08
07/10/2020,0,0.08
08/10/2020,0,0.09
09/10/2020,.,0.1
12/10/2020,.,.
13/10/2020,.,0.09
14/10/2020,.,0.1
15/10/2020,0,0.1
16/10/2020,0,0.09
19/10/2020,0,0.09
20/10/2020,0,0.08
21/10/2020,.,0.08
22/10/2020,0,0.09
23/10/2020,.,0.08
26/10/2020,0,0.08
27/10/2020,.,0.08
28/10/2020,0,0.07
29/10/2020,0,0.08
30/10/2020,0,0.08
02/11/2020,.,0.09
03/11/2020,.,0.09
04/11/2020,.,0.08
05/11/2020,.,0.09
06/11/2020,.,0.1
09/11/2020,.,0.1
10/11/2020,.,0.09
11/11/2020,.,.
12/11/2020,.,0.1
13/11/2020,0,0.1
16/11/2020,0,0.09
17/11/2020,.,0.08
18/11/2020,0,0.07
19/11/2020,0,0.08
20/11/2020,.,0.09
23/11/2020,0,0.08
24/11/2020,0,0.08
25/11/2020,.,0.07
26/11/2020,.,.
27/11/2020,.,0.09
30/11/2020,0,0.08
01/12/2020,0,0.07
02/12/2020,0,0.07
03/12/2020,.,0.08
04/12/2020,.,0.07
07/12/2020,0,0.09
08/12/2020,0,0.08
09/12/2020,0,0.07
10/12/2020,0,0.07
11/12/2020,.,0.08
14/12/2020,0,0.07
15/12/2020,0,0.07
16/12/2020,0,0.08
17/12/2020,0,0.08
18/12/2020,0,0.08
21/12/2020,0,0.08
22/12/2020,0,0.06
23/12/2020,0,0.07
24/12/2020,0,0.09
25/12/2020,.,.
28/12/2020,0,0.09
29/12/2020,0,0.08
30/12/2020,0,0.06
31/12/2020,0,0.08
01/01/2021,.,.
04/01/2021,0,0.09
05/01/2021,0,0.08
06/01/2021,0,0.09
07/01/2021,0,0.09
08/01/2021,.,0.08
11/01/2021,.,0.09
12/01/2021,.,0.09
13/01/2021,.,0.09
14/01/2021,0,0.09
15/01/2021,.,0.08
18/01/2021,.,.
19/01/2021,0,0.07
20/01/2021,0,0.08
21/01/2021,0,0.07
22/01/2021,.,0.07
25/01/2021,0,0.07
26/01/2021,0,0.05
27/01/2021,0,0.05
28/01/2021,0,0.05
29/01/2021,0,0.07
01/02/2021,0,0.06
02/02/2021,0,0.04
03/02/2021,0,0.03
04/02/2021,0,0.03
05/02/2021,0,0.02
08/02/2021,0,0.04
09/02/2021,0,0.04
10/02/2021,.,0.05
11/02/2021,0,0.05
12/02/2021,0,0.03
15/02/2021,.,.
16/02/2021,0,0.03
17/02/2021,0,0.03
18/02/2021,.,0.03
19/02/2021,0,0.03
22/02/2021,0,0.03
23/02/2021,0,0.03
24/02/2021,0,0.03
25/02/2021,0,0.04
26/02/2021,0,0.04
01/03/2021,.,0.03
02/03/2021,0,0.04
03/03/2021,0,0.04
04/03/2021,0,0.03
05/03/2021,0,0.04
08/03/2021,0,0.04
09/03/2021,.,0.04
10/03/2021,0,0.03
11/03/2021,0,0.04
12/03/2021,0,0.03
15/03/2021,0,0.02
16/03/2021,0,0.01
17/03/2021,.,0.01
18/03/2021,0,0.01
19/03/2021,0,0.01
22/03/2021,0,0.02
23/03/2021,0,0.02
24/03/2021,0,0.02
25/03/2021,0,0.02
26/03/2021,0,0.02
29/03/2021,0,0.02
30/03/2021,0,0.01
31/03/2021,0,0.01
01/04/2021,.,0.02
02/04/2021,.,0.02
05/04/2021,0,0.03
06/04/2021,0,0.02
07/04/2021,0,0.01
08/04/2021,0,0.02
09/04/2021,0,0.02
12/04/2021,0,0.02
13/04/2021,0,0.03
14/04/2021,0,0.02
15/04/2021,0,0.02
16/04/2021,0,0.02
19/04/2021,0,0.01
20/04/2021,0,0.01
21/04/2021,0,0
22/04/2021,0,0.02
23/04/2021,0,0.01
26/04/2021,0,0.02
27/04/2021,0,0.01
28/04/2021,0,0.01
29/04/2021,0,0.01
30/04/2021,0,0.01
03/05/2021,0,0.02
04/05/2021,0,0.01
05/05/2021,0,0.01
06/05/2021,0,0.01
07/05/2021,0,0.01
10/05/2021,0,0.02
11/05/2021,0,0.01
12/05/2021,0,0.01
13/05/2021,0,0
14/05/2021,0,0.01
17/05/2021,0,0
18/05/2021,0,0
19/05/2021,0,0
20/05/2021,0,0.01
21/05/2021,0,0
24/05/2021,0,0.01
25/05/2021,0,0.01
26/05/2021,0,0
27/05/2021,0,0
28/05/2021,0,0.01
31/05/2021,.,.
01/06/2021,0,0.01
02/06/2021,0,0.01
03/06/2021,0,0
04/06/2021,0,0.01
07/06/2021,0,0.01
08/06/2021,0,0.01
09/06/2021,0,0.01
10/06/2021,0,0.01
11/06/2021,0,0.01
14/06/2021,0,0.01
15/06/2021,0,0.02
16/06/2021,0,0.04
17/06/2021,0.05,0.05
18/06/2021,0.05,0.05
21/06/2021,0.05,0.04
