DATE,WDTGAL
2018-01-03,169957
2018-01-10,198573
2018-01-17,256720
2018-01-24,275963
2018-01-31,275794
2018-02-07,202221
2018-02-14,180845
2018-02-21,208817
2018-02-28,199390
2018-03-07,187515
2018-03-14,236160
2018-03-21,298973
2018-03-28,300355
2018-04-04,300604
2018-04-11,287804
2018-04-18,350943
2018-04-25,403067
2018-05-02,384961
2018-05-09,338377
2018-05-16,327748
2018-05-23,312169
2018-05-30,332712
2018-06-06,289454
2018-06-13,282968
2018-06-20,380090
2018-06-27,362175.0
2018-07-04,325543.0
2018-07-11,316434.0
2018-07-18,335801.0
2018-07-25,338978.0
2018-08-01,310204.0
2018-08-08,311690.0
2018-08-15,318117.0
2018-08-22,334992.0
2018-08-29,345255.0
2018-09-05,324437.0
2018-09-12,297697.0
2018-09-19,399519.0
2018-09-26,367243.0
2018-10-03,350281.0
2018-10-10,308869.0
2018-10-17,360638.0
2018-10-24,360681.0
2018-10-31,366596.0
2018-11-07,316157.0
2018-11-14,328686.0
2018-11-21,317331.0
2018-11-28,332336.0
2018-12-05,328613.0
2018-12-12,322663.0
2018-12-19,396293.0
2018-12-26,368236.0
2019-01-02,382616.0
2019-01-09,349443.0
2019-01-16,396414.0
2019-01-23,402227.0
2019-01-30,411384.0
2019-02-06,353896.0
2019-02-13,375119.0
2019-02-20,331003.0
2019-02-27,266024.0
2019-03-06,213611.0
2019-03-13,238381.0
2019-03-20,314749.0
2019-03-27,295593.0
2019-04-03,270470.0
2019-04-10,245664.0
2019-04-17,369365.0
2019-04-24,398916.0
2019-05-01,368764.0
2019-05-08,344461.0
2019-05-15,294969.0
2019-05-22,264581.0
2019-05-29,249011.0
2019-06-05,207647.0
2019-06-12,173062.0
2019-06-19,258641.0
2019-06-26,240909.0
2019-07-03,220911.0
2019-07-10,195226.0
2019-07-17,206203.0
2019-07-24,178227.0
2019-07-31,176662.0
2019-08-07,133077.0
2019-08-14,130981.0
2019-08-21,131447.0
2019-08-28,150146.0
2019-09-04,174779.0
2019-09-11,183581.0
2019-09-18,303057.0
2019-09-25,305810.0
2019-10-02,335185.0
2019-10-09,297389.0
2019-10-16,361497.0
2019-10-23,375170.0
2019-10-30,400616.0
2019-11-06,378184.0
2019-11-13,370185.0
2019-11-20,357551.0
2019-11-27,358896.0
2019-12-04,338453.0
2019-12-11,304160.0
2019-12-18,378573.0
2019-12-25,351934.0
2020-01-01,403853.0
2020-01-08,350840.0
2020-01-15,380802.0
2020-01-22,411708.0
2020-01-29,450537.0
2020-02-05,416585.0
2020-02-12,404341.0
2020-02-19,421051.0
2020-02-26,387615.0
2020-03-04,381302.0
2020-03-11,372337.0
2020-03-18,401354.0
2020-03-25,384890.0
2020-04-01,506933.0
2020-04-08,827178.0
2020-04-15,856155.0
2020-04-22,949999.0
2020-04-29,1076232.0
2020-05-06,1143268.0
2020-05-13,1138172.0
2020-05-20,1193297.0
2020-05-27,1326897.0
2020-06-03,1431462.0
2020-06-10,1504569.0
2020-06-17,1565306.0
2020-06-24,1586573.0
2020-07-01,1656747.0
2020-07-08,1624404.0
2020-07-15,1740455.0
2020-07-22,1777180.0
2020-07-29,1792434.0
2020-08-05,1706637.0
2020-08-12,1635143.0
2020-08-19,1636393.0
2020-08-26,1607449.0
2020-09-02,1651823.0
2020-09-09,1570533.0
2020-09-16,1692809.0
2020-09-23,1661732.0
2020-09-30,1781679.0
2020-10-07,1687434.0
2020-10-14,1647937.0
2020-10-21,1699497.0
2020-10-28,1653039.0
2020-11-04,1618568.0
2020-11-11,1570768.0
2020-11-18,1546924.0
2020-11-25,1484036.0
2020-12-02,1557239.0
2020-12-09,1502361.0
2020-12-16,1615873.0
2020-12-23,1583308.0
2020-12-30,1613514.0
2021-01-06,1607396.0
2021-01-13,1575875.0
2021-01-20,1638331.0
2021-01-27,1613377.0
2021-02-03,1629729.0
2021-02-10,1576744.0
2021-02-17,1568893.0
2021-02-24,1439646.0
2021-03-03,1420238.0
2021-03-10,1310273.0
2021-03-17,1089501.0
2021-03-24,1031908.0
2021-03-31,1121951.0
2021-04-07,954968.0
2021-04-14,921685.0
2021-04-21,1003443.0
2021-04-28,932287.0
2021-05-05,946134.0
2021-05-12,864253.0
2021-05-19,860833.0
2021-05-26,778912.0
2021-06-02,812087.0
2021-06-09,673555.0
2021-06-16,765114.0
2021-06-23,733877.0
2021-06-30,851929.0
2021-07-07,724898.0
2021-07-14,657542.0
2021-07-21,616294.0
2021-07-28,536966.0
2021-08-04,505871.0
2021-08-11,389747.0
2021-08-18,313651.0
2021-08-25,258200.0
2021-09-01,296934.0
2021-09-08,200702.0
2021-09-15,344668.0
2021-09-22,272679.0
2021-09-29,173745.0
2021-10-06,95854.0
2021-10-13,72460.0
2021-10-20,117364.0
2021-10-27,236495.0
2021-11-03,286959.0
2021-11-10,231421.0
2021-11-17,178972.0
2021-11-24,141042.0
2021-12-01,159148.0
2021-12-08,125144.0
2021-12-15,58294.0
2021-12-22,197516.0
2021-12-29,283995.0
2022-01-05,434757.0
2022-01-12,489679.0
2022-01-19,580171.0
2022-01-26,639620.0
2022-02-02,710267.0
2022-02-09,679019.0
2022-02-16,709261.0
2022-02-23,674797.0
2022-03-02,685491.0
2022-03-09,609369.0
2022-03-16,621527.0
2022-03-23,576442.0
2022-03-30,556791.0
2022-04-06,545584.0
2022-04-13,543536.0
2022-04-20,907526.0
2022-04-27,957419.0
2022-05-04,964412.0
2022-05-11,919331.0
2022-05-18,866726.0
2022-05-25,801714.0
2022-06-01,780575.0
2022-06-08,683892.0
2022-06-15,769937.0
2022-06-22,745052.0
2022-06-29,759845.0
2022-07-06,687943.0
2022-07-13,618740.0
2022-07-20,616348.0
2022-07-27,615515.0
2022-08-03,566577.0
2022-08-10,561140.0
2022-08-17,539278.0
2022-08-24,530196.0
2022-08-31,669911.0
2022-09-07,582921.0
2022-09-14,617997.0
2022-09-21,690286.0
2022-09-28,661920.0
2022-10-05,622131.0
2022-10-12,583513.0
2022-10-19,640613.0
2022-10-26,636327.0
2022-11-02,552089.0
2022-11-09,517340.0
2022-11-16,472185.0
2022-11-23,492754.0
2022-11-30,532791.0
2022-12-07,410853.0
2022-12-14,342104.0
2022-12-21,434922.0
