DATE,WALCL
03/01/2018,4443718
10/01/2018,4446062
17/01/2018,4439145
24/01/2018,4441317
31/01/2018,4419225
07/02/2018,4420745
14/02/2018,4434863
21/02/2018,4411660
28/02/2018,4393401
07/03/2018,4396097
14/03/2018,4407258
21/03/2018,4401222
28/03/2018,4392198
04/04/2018,4386104
11/04/2018,4383684
18/04/2018,4385903
25/04/2018,4372886
02/05/2018,4356129
09/05/2018,4358207
16/05/2018,4337609
23/05/2018,4337301
30/05/2018,4327519
06/06/2018,4319191
13/06/2018,4324906
20/06/2018,4315896
27/06/2018,4305491
04/07/2018,4289764
11/07/2018,4291201
18/07/2018,4291615
25/07/2018,4277681
01/08/2018,4255653
08/08/2018,4258030
15/08/2018,4228924
22/08/2018,4228818
29/08/2018,4218914
05/09/2018,4208496
12/09/2018,4210812
19/09/2018,4208059
26/09/2018,4192909
03/10/2018,4174704
10/10/2018,4176906
17/10/2018,4175446
24/10/2018,4173070
31/10/2018,4139731
07/11/2018,4141936
14/11/2018,4145892
21/11/2018,4106198
28/11/2018,4097170
05/12/2018,4086044
12/12/2018,4088314
19/12/2018,4084274
26/12/2018,4075636
02/01/2019,4058378
09/01/2019,4056563
16/01/2019,4050044
23/01/2019,4047052
30/01/2019,4039678
06/02/2019,4026350
13/02/2019,4028431
20/02/2019,3981420
27/02/2019,3974590
06/03/2019,3969134
13/03/2019,3971559
20/03/2019,3962748
27/03/2019,3955617
03/04/2019,3935509
10/04/2019,3936784
17/04/2019,3931827
24/04/2019,3928273
01/05/2019,3889691
08/05/2019,3892216
15/05/2019,3864749
22/05/2019,3860435
29/05/2019,3851444
05/06/2019,3847645
12/06/2019,3849955
19/06/2019,3844016
26/06/2019,3826817
03/07/2019,3813198
10/07/2019,3815038
17/07/2019,3808110
24/07/2019,3803436
31/07/2019,3779102
07/08/2019,3781543
14/08/2019,3786018
21/08/2019,3764866
28/08/2019,3759946
04/09/2019,3761508
11/09/2019,3769673
18/09/2019,3844695
25/09/2019,3857715
02/10/2019,3945831
09/10/2019,3949955
16/10/2019,3966471
23/10/2019,3968700
30/10/2019,4019823
06/11/2019,4039443
13/11/2019,4047882
20/11/2019,4030249
27/11/2019,4052875
04/12/2019,4065696
11/12/2019,4095491
18/12/2019,4137052
25/12/2019,4165591
01/01/2020,4173626
08/01/2020,4149544
15/01/2020,4175850
22/01/2020,4145912
29/01/2020,4151630
05/02/2020,4166707
12/02/2020,4182689
19/02/2020,4171570
26/02/2020,4158637
04/03/2020,4241507
11/03/2020,4311911
18/03/2020,4668212
25/03/2020,5254278
01/04/2020,5811607
08/04/2020,6083141
15/04/2020,6367887
22/04/2020,6573136
29/04/2020,6655929
06/05/2020,6721420
13/05/2020,6934227
20/05/2020,7037258
27/05/2020,7097316
03/06/2020,7165217
10/06/2020,7168936
17/06/2020,7094690
24/06/2020,7082302
01/07/2020,7009040
08/07/2020,6920716
15/07/2020,6958604
22/07/2020,6964755
29/07/2020,6949032
05/08/2020,6945237
12/08/2020,6957277
19/08/2020,7010637
26/08/2020,6990418
02/09/2020,7017492
09/09/2020,7010614
16/09/2020,7064475
23/09/2020,7093161
30/09/2020,7056129
07/10/2020,7074649
14/10/2020,7151426
21/10/2020,7177265
28/10/2020,7146306
04/11/2020,7157479
11/11/2020,7175417
