DATE,WTREGEN
03/01/2018,211.566
10/01/2018,206.215
17/01/2018,227.665
24/01/2018,269.118
31/01/2018,270.244
07/02/2018,203.936
14/02/2018,197.681
21/02/2018,214.677
28/02/2018,202.62
07/03/2018,195.071
14/03/2018,249.929
21/03/2018,316.454
28/03/2018,318.858
04/04/2018,303.916
11/04/2018,294.083
18/04/2018,275.246
25/04/2018,359.599
02/05/2018,399.984
09/05/2018,353.741
16/05/2018,337.258
23/05/2018,326.445
30/05/2018,325.351
06/06/2018,294.069
13/06/2018,281.188
20/06/2018,352.777
27/06/2018,373.94
04/07/2018,336.026
11/07/2018,326.476
18/07/2018,324.457
25/07/2018,348.886
01/08/2018,351.523
08/08/2018,326.471
15/08/2018,342.799
22/08/2018,348.393
29/08/2018,342.543
05/09/2018,323.764
12/09/2018,303.654
19/09/2018,335.878
26/09/2018,370.031
03/10/2018,368.007
10/10/2018,324.721
17/10/2018,332.923
24/10/2018,369.576
31/10/2018,373.368
07/11/2018,319.984
14/11/2018,341.094
21/11/2018,330.202
28/11/2018,340.596
05/12/2018,337.564
12/12/2018,334.967
19/12/2018,350.714
26/12/2018,374.085
02/01/2019,379.902
09/01/2019,356.698
16/01/2019,351.18
23/01/2019,389.626
30/01/2019,403.276
06/02/2019,352.375
13/02/2019,359.109
20/02/2019,333.896
27/02/2019,310.574
06/03/2019,220.045
13/03/2019,245.972
20/03/2019,303.623
27/03/2019,310.868
03/04/2019,310.188
10/04/2019,262.617
17/04/2019,285.264
24/04/2019,378.602
01/05/2019,400.498
08/05/2019,348.357
15/05/2019,323.786
22/05/2019,282.864
29/05/2019,247.777
05/06/2019,223.638
12/06/2019,187.56
19/06/2019,198.398
26/06/2019,248.302
03/07/2019,245.306
10/07/2019,211.115
17/07/2019,197.005
24/07/2019,193.362
31/07/2019,163.763
07/08/2019,131.704
14/08/2019,129.957
21/08/2019,125.725
28/08/2019,145.957
04/09/2019,148.74
11/09/2019,185.342
18/09/2019,250.226
25/09/2019,314.189
02/10/2019,335.171
09/10/2019,318.191
16/10/2019,324.604
23/10/2019,377.985
30/10/2019,389.872
06/11/2019,377.029
13/11/2019,381.955
20/11/2019,368.813
27/11/2019,360.941
04/12/2019,346.971
11/12/2019,326.865
18/12/2019,332.592
25/12/2019,367.82
01/01/2020,382.553
08/01/2020,367.002
15/01/2020,350.987
22/01/2020,403.941
29/01/2020,432.061
05/02/2020,413.322
12/02/2020,411.237
19/02/2020,428.805
26/02/2020,439.365
04/03/2020,374.515
11/03/2020,380.556
18/03/2020,362.576
25/03/2020,390.252
01/04/2020,429.267
08/04/2020,698.578
15/04/2020,889.815
22/04/2020,901.331
29/04/2020,997.507
06/05/2020,1127.49
13/05/2020,1177.494
20/05/2020,1194.41
27/05/2020,1310.491
03/06/2020,1434.823
10/06/2020,1506.558
17/06/2020,1560.85
24/06/2020,1623.942
01/07/2020,1657.62
08/07/2020,1653.098
15/07/2020,1655.32
22/07/2020,1804.944
29/07/2020,1816.687
05/08/2020,1745.228
12/08/2020,1669.733
19/08/2020,1643.505
26/08/2020,1622.69
02/09/2020,1639.159
09/09/2020,1611.083
16/09/2020,1614.855
23/09/2020,1680.688
30/09/2020,1679.152
07/10/2020,1697.074
14/10/2020,1680.998
21/10/2020,1724.792
28/10/2020,1680.933
04/11/2020,1621.346
11/11/2020,1600.837
18/11/2020,1556.892
25/11/2020,1517.215
02/12/2020,1531.053
09/12/2020,1534.243
16/12/2020,1529.698
23/12/2020,1602.407
30/12/2020,1591.055
06/01/2021,1669.327
13/01/2021,1589.421
20/01/2021,1626.906
27/01/2021,1633.54
03/02/2021,1625.325
10/02/2021,1608.906
17/02/2021,1567.041
24/02/2021,1529.977
03/03/2021,1429.549
10/03/2021,1360.064
17/03/2021,1272.583
24/03/2021,1061.138
31/03/2021,1025.727
07/04/2021,1010.103
14/04/2021,925.094
21/04/2021,1015.902
28/04/2021,967.689
05/05/2021,953.689
12/05/2021,898.779
19/05/2021,866.119
26/05/2021,812.473
02/06/2021,783.235
09/06/2021,730.235
16/06/2021,653.889
23/06/2021,734.689
30/06/2021,745.962
07/07/2021,753.364
14/07/2021,704.918
21/07/2021,678.103
28/07/2021,578.204
04/08/2021,492.668
11/08/2021,434.919
18/08/2021,338.808
25/08/2021,301.43
01/09/2021,277.65
08/09/2021,253.496
15/09/2021,230.328
22/09/2021,308.022
29/09/2021,197.744
06/10/2021,135.582
13/10/2021,77.858
20/10/2021,83.386
27/10/2021,213.291
03/11/2021,280.205
10/11/2021,259.293
17/11/2021,211.453
24/11/2021,164.087
01/12/2021,152.651
08/12/2021,115.117
15/12/2021,104.798
22/12/2021,84.954
29/12/2021,211.849
05/01/2022,389.751
12/01/2022,456.401
19/01/2022,488.697
26/01/2022,614.877
02/02/2022,675.773
09/02/2022,686.384
16/02/2022,692.541
23/02/2022,697.838
02/03/2022,682.903
09/03/2022,652.039
16/03/2022,570.606
23/03/2022,614.616
30/03/2022,575.065
06/04/2022,574.451
13/04/2022,547.308
20/04/2022,711.406
27/04/2022,944.328
04/05/2022,945.478
11/05/2022,945.658
18/05/2022,886.964
25/05/2022,821.535
01/06/2022,789.532
08/06/2022,723.384
15/06/2022,656.87
22/06/2022,758.283
29/06/2022,756.627
06/07/2022,700.457
13/07/2022,652.572
20/07/2022,613.878
27/07/2022,602.945
03/08/2022,594.115
10/08/2022,557.265
17/08/2022,545.321
24/08/2022,535.267
31/08/2022,612.536
07/09/2022,581.295
14/09/2022,593.808
21/09/2022,692.496
28/09/2022,689.569
05/10/2022,633.939
12/10/2022,608.302
19/10/2022,607.199
26/10/2022,634.548
02/11/2022,598.544
09/11/2022,527.479
16/11/2022,502.982
23/11/2022,479.474
30/11/2022,511.474
07/12/2022,432.335
14/12/2022,355.517
