Date,open,high,low,close
19/11/2004,-1.648361819,-1.646227489,-1.639223794,-1.64065237
22/11/2004,-1.641308701,-1.644876454,-1.631864293,-1.636040269
23/11/2004,-1.63778209,-1.646227489,-1.632409453,-1.641466228
24/11/2004,-1.636425733,-1.642714983,-1.630501446,-1.633327342
26/11/2004,-1.627744925,-1.627854523,-1.623141944,-1.626816172
29/11/2004,-1.631814099,-1.630556387,-1.622596784,-1.623831889
30/11/2004,-1.624489647,-1.632988106,-1.629683758,-1.631428272
01/12/2004,-1.626931131,-1.628124668,-1.617690554,-1.624374495
02/12/2004,-1.61960668,-1.628665061,-1.633499772,-1.636040269
03/12/2004,-1.633441686,-1.617046859,-1.630228918,-1.618406035
06/12/2004,-1.623947084,-1.631366926,-1.621779097,-1.630071809
07/12/2004,-1.626388568,-1.635419825,-1.622869416,-1.631699524
08/12/2004,-1.667079897,-1.670544577,-1.669479488,-1.661542242
09/12/2004,-1.668436254,-1.673786835,-1.673840662,-1.667782058
10/12/2004,-1.678744753,-1.681892634,-1.670842335,-1.677006156
13/12/2004,-1.672234095,-1.670814825,-1.665390945,-1.66425517
14/12/2004,-1.668165024,-1.676488802,-1.665390945,-1.674021874
15/12/2004,-1.658941652,-1.66649178,-1.654215429,-1.662084745
16/12/2004,-1.661925596,-1.669734038,-1.663482834,-1.670494985
17/12/2004,-1.663553286,-1.665140745,-1.658031444,-1.65665889
20/12/2004,-1.652702224,-1.661087949,-1.648491303,-1.652589396
21/12/2004,-1.658127755,-1.664600352,-1.650671942,-1.655844929
22/12/2004,-1.656228834,-1.6648706,-1.655033117,-1.661270887
23/12/2004,-1.657042731,-1.661628342,-1.650671942,-1.654488465
27/12/2004,-1.653787351,-1.655954262,-1.644675289,-1.648791256
28/12/2004,-1.650260843,-1.658385981,-1.644130129,-1.651775538
29/12/2004,-1.66382462,-1.670544577,-1.66975212,-1.671037591
30/12/2004,-1.675218142,-1.674327228,-1.665936001,-1.666425491
31/12/2004,-1.66572354,-1.672706151,-1.659394291,-1.667239452
03/01/2005,-1.689324482,-1.693510836,-1.686379026,-1.688400575
04/01/2005,-1.69420745,-1.700535745,-1.694011159,-1.695996854
05/01/2005,-1.695563807,-1.701346284,-1.690195145,-1.697896028
06/01/2005,-1.702888258,-1.709992373,-1.704641515,-1.712003374
07/01/2005,-1.713467987,-1.714585666,-1.714726712,-1.720413615
10/01/2005,-1.716180701,-1.723231756,-1.70954785,-1.717429333
11/01/2005,-1.71021271,-1.717557779,-1.703278668,-1.710375659
12/01/2005,-1.701803131,-1.703778003,-1.693465999,-1.699795098
13/01/2005,-1.705329742,-1.708911689,-1.697282014,-1.699795098
14/01/2005,-1.710755273,-1.716476992,-1.703006036,-1.707391377
18/01/2005,-1.709941377,-1.714855811,-1.702460876,-1.707391377
19/01/2005,-1.698276521,-1.707560654,-1.701098029,-1.709019196
20/01/2005,-1.712654194,-1.716476992,-1.703551196,-1.709290447
21/01/2005,-1.707228663,-1.702967464,-1.698644862,-1.695996854
24/01/2005,-1.695835037,-1.702967464,-1.688287137,-1.695182997
25/01/2005,-1.701531901,-1.709992373,-1.703823828,-1.709561698
26/01/2005,-1.699904211,-1.704048251,-1.69128536,-1.697353422
27/01/2005,-1.702888258,-1.707560654,-1.695646535,-1.699252492
28/01/2005,-1.696648934,-1.705399183,-1.694828847,-1.697353422
31/01/2005,-1.71021271,-1.717017385,-1.707639842,-1.710104305
01/02/2005,-1.713467987,-1.72134043,-1.70791237,-1.713359942
02/02/2005,-1.709941377,-1.718908711,-1.706004363,-1.711732123
03/02/2005,-1.727845557,-1.73214799,-1.720178206,-1.724754361
04/02/2005,-1.727031764,-1.734579709,-1.723176533,-1.73045157
07/02/2005,-1.728116891,-1.737281677,-1.728082867,-1.735877529
08/02/2005,-1.737882826,-1.741334473,-1.732444042,-1.736148883
09/02/2005,-1.742223231,-1.74241526,-1.733261729,-1.734792316
10/02/2005,-1.728659454,-1.729446126,-1.721541054,-1.722855291
11/02/2005,-1.718893519,-1.720800037,-1.711183225,-1.713902444
14/02/2005,-1.704515949,-1.708101047,-1.697827174,-1.701151561
15/02/2005,-1.705058409,-1.708911689,-1.697282014,-1.7003376
16/02/2005,-1.707228663,-1.708911689,-1.701098029,-1.701965419
17/02/2005,-1.701803131,-1.703237609,-1.692648312,-1.696268209
18/02/2005,-1.696648934,-1.702967464,-1.689104825,-1.695725603
22/02/2005,-1.678202189,-1.681081992,-1.673840662,-1.673479268
23/02/2005,-1.680914903,-1.683243566,-1.67520351,-1.677548762
24/02/2005,-1.675760706,-1.685134892,-1.673840662,-1.679990335
25/02/2005,-1.677659626,-1.683243566,-1.673295502,-1.675378337
28/02/2005,-1.670335174,-1.678109879,-1.665118313,-1.67456448
01/03/2005,-1.680643673,-1.688107004,-1.676566461,-1.682974617
02/03/2005,-1.684441514,-1.688647398,-1.677111517,-1.682160759
03/03/2005,-1.687154228,-1.69459152,-1.682017851,-1.689757039
04/03/2005,-1.68037234,-1.684054105,-1.670842335,-1.678633871
07/03/2005,-1.68010111,-1.684324353,-1.672205287,-1.676192195
08/03/2005,-1.669521381,-1.668923396,-1.663210306,-1.660999636
09/03/2005,-1.663010723,-1.665681139,-1.654215429,-1.661270887
10/03/2005,-1.657585191,-1.664330206,-1.65203479,-1.656387535
11/03/2005,-1.653244787,-1.652982253,-1.644402761,-1.65014772
14/03/2005,-1.654601248,-1.664060061,-1.653397637,-1.660999636
15/03/2005,-1.655415041,-1.6648706,-1.653942797,-1.660185675
16/03/2005,-1.653787351,-1.661628342,-1.646583296,-1.653403253
17/03/2005,-1.662468159,-1.671895509,-1.661029771,-1.666696846
18/03/2005,-1.672234095,-1.672435902,-1.662937778,-1.664797776
21/03/2005,-1.683085157,-1.691349262,-1.682835643,-1.686501505
22/03/2005,-1.683085157,-1.692159801,-1.691557992,-1.698438531
23/03/2005,-1.699632981,-1.707020364,-1.697009486,-1.70467845
24/03/2005,-1.702074465,-1.710532767,-1.696464326,-1.705492307
28/03/2005,-1.703430822,-1.70945198,-1.695374007,-1.701422813
29/03/2005,-1.699361648,-1.708101047,-1.69183052,-1.700880207
30/03/2005,-1.698276521,-1.703237609,-1.69128536,-1.699523743
31/03/2005,-1.692308529,-1.701616532,-1.687469345,-1.693826533
01/04/2005,-1.699632981,-1.708371296,-1.694283687,-1.699252492
04/04/2005,-1.704244615,-1.713504879,-1.700280341,-1.705220952
05/04/2005,-1.702616925,-1.710532767,-1.696191694,-1.703864489
06/04/2005,-1.702616925,-1.705669328,-1.693193367,-1.698981137
07/04/2005,-1.695021243,-1.703237609,-1.692103152,-1.700608955
08/04/2005,-1.702888258,-1.705939577,-1.694011159,-1.697353422
11/04/2005,-1.693122323,-1.699184813,-1.686379026,-1.694911746
12/04/2005,-1.696920164,-1.702427071,-1.689922513,-1.693283927
13/04/2005,-1.695292577,-1.699454958,-1.688014505,-1.691656109
14/04/2005,-1.703702052,-1.712153947,-1.702188348,-1.707662628
15/04/2005,-1.705600972,-1.709992373,-1.696736854,-1.705220952
18/04/2005,-1.700989338,-1.704048251,-1.69237568,-1.697353422
19/04/2005,-1.69447868,-1.688377149,-1.686924186,-1.681346902
20/04/2005,-1.683085157,-1.684054105,-1.674113294,-1.678091265
21/04/2005,-1.677388396,-1.686485824,-1.675476142,-1.683788578
22/04/2005,-1.676303269,-1.684594498,-1.670842335,-1.67836262
25/04/2005,-1.679287316,-1.68594543,-1.673295502,-1.677006156
26/04/2005,-1.670063944,-1.679190666,-1.665663473,-1.671580198
27/04/2005,-1.674404349,-1.683513711,-1.676021302,-1.683517223
28/04/2005,-1.684441514,-1.690808868,-1.679564684,-1.688943181
29/04/2005,-1.683898951,-1.681622385,-1.674385822,-1.679447832
02/05/2005,-1.685255308,-1.693510836,-1.684471019,-1.692198715
03/05/2005,-1.695563807,-1.703507858,-1.6907402,-1.695454352
04/05/2005,-1.692308529,-1.7002656,-1.686651658,-1.691656109
